id,state,name,no_underground,no_prod_tons_under,no_surface,no_prod_tons_surf,total_mines,total_prod_tons
0,Kentucky,Whitley,1,100,11,369,12,469000
0,Kentucky,Wolfe,0,0,1,24,1,24000
0,Louisiana,De Soto,0,0,1,3244,1,3244000
0,Louisiana,Natchitoches,0,0,1,195,1,195000
0,Maryland,Allegany County,1,128,9,1001,10,1129000
0,Maryland,Garrett,1,471,7,322,8,793000
0,Mississippi,Choctaw,0,0,1,2976,1,2976000
0,Mississippi,Kemper,0,0,1,167,1,167000
0,Missouri,Bates,0,0,1,138,1,138000
0,Montana,Big Horn,0,0,3,25503,3,25503000
0,Montana,Musselshell,1,6420,0,0,1,6420000
0,Montana,Richland,0,0,1,270,1,270000
0,Montana,Rosebud,0,0,1,9671,1,9671000
0,New Mexico,Mckinley,0,0,1,7476,1,7476000
0,New Mexico,San Juan,1,6518,1,5685,2,12203000
0,North Dakota,Mclean,0,0,1,7980,1,7980000
0,North Dakota,Mercer,0,0,2,16428,2,16428000
0,North Dakota,Oliver,0,0,1,4394,1,4394000
39013,Ohio,Belmont,1,4756,1,645,2,5401000
39019,Ohio,Carroll,2,186,0,0,2,186000
39059,Ohio,Guernsey,0,0,1,17,1,17000
39067,Ohio,Harrison,2,842,2,1897,4,2739000
39079,Ohio,Jackson,0,0,1,155,1,155000
39081,Ohio,Jefferson,2,303,2,91,4,394000
39111,Ohio,Monroe,1,5249,0,0,1,5249000
39121,Ohio,Noble,0,0,1,430,1,430000
39127,Ohio,Perry,2,752,1,604,3,1356000
39151,Ohio,Stark,0,0,1,61,1,61000
39157,Ohio,Tuscarawas,1,133,2,757,3,890000
39163,Ohio,Vinton,0,0,2,164,2,164000
0,Oklahoma,Haskell,0,0,1,22,1,22000
0,Oklahoma,Le Flore,1,391,1,174,2,565000
0,Oklahoma,Nowata,0,0,1,191,1,191000
0,Oklahoma,Okmulgee,0,0,1,2,1,2000
42003,Pennsylvania,Allegheny,0,0,2,5,2,5000
42005,Pennsylvania,Armstrong,7,1252,1,24,8,1276000
42007,Pennsylvania,Beaver,1,309,0,0,1,309000
42009,Pennsylvania,Bedford,0,0,1,119,1,119000
42013,Pennsylvania,Blair,0,0,1,17,1,17000
42019,Pennsylvania,Butler,0,0,1,36,1,36000
42021,Pennsylvania,Cambria,2,411,6,436,8,847000
42025,Pennsylvania,Carbon,0,0,1,31,1,31000
42031,Pennsylvania,Clarion,0,0,2,10,2,10000
42033,Pennsylvania,Clearfield,3,847,30,1228,33,2075000
42037,Pennsylvania,Columbia,0,0,2,148,2,148000
42043,Pennsylvania,Dauphin,1,16,0,0,1,16000
42047,Pennsylvania,Elk,0,0,3,9,3,9000
42051,Pennsylvania,Fayette,0,0,6,24,6,24000
42059,Pennsylvania,Greene,6,28379,1,129,7,28508000
42063,Pennsylvania,Indiana,10,1958,13,161,23,2119000
42065,Pennsylvania,Jefferson,1,45,6,752,7,797000
42079,Pennsylvania,Luzerne,0,0,7,483,7,483000
42081,Pennsylvania,Lycoming,0,0,1,120,1,120000
42085,Pennsylvania,Mercer,0,0,1,45,1,45000
42097,Pennsylvania,Northumberland,2,15,10,237,12,252000
42107,Pennsylvania,Schuylkill,5,55,30,968,35,1023000
42111,Pennsylvania,Somerset,5,1521,15,529,20,2050000
42121,Pennsylvania,Venango,0,0,1,11,1,11000
42125,Pennsylvania,Washington,1,8999,3,493,4,9492000
42129,Pennsylvania,Westmoreland,1,87,6,122,7,209000
47013,Tennessee,Campbell,0,0,1,68,1,68000
47025,Tennessee,Claiborne,4,531,4,290,8,821000
47037,Tennessee,Davidson,0,0,1,8,1,8000
0,Texas,Atascosa,0,0,1,2574,1,2574000
0,Texas,Freestone,0,0,1,1387,1,1387000
0,Texas,Harrison,0,0,2,3851,2,3851000
0,Texas,Hopkins,0,0,1,512,1,512000
0,Texas,Lee,0,0,1,6482,1,6482000
0,Texas,Leon,0,0,1,3354,1,3354000
0,Texas,Limestone,0,0,1,8115,1,8115000
0,Texas,Maverick,0,0,1,715,1,715000
0,Texas,Panola,0,0,2,3384,2,3384000
0,Texas,Robertson,0,0,1,2080,1,2080000
0,Texas,Rusk,0,0,2,3465,2,3465000
0,Utah,Carbon,4,7101,0,0,4,7101000
0,Utah,Emery,2,967,0,0,2,967000
0,Utah,Kane,1,11,1,316,2,327000
0,Utah,Sevier,1,6024,0,0,1,6024000
0,Virginia,Buchanan,16,5654,12,1446,28,7100000
0,Virginia,Dickenson,8,2506,5,1079,13,3585000
0,Virginia,Russell,0,0,3,349,3,349000
0,Virginia,Tazewell,2,354,3,375,5,729000
0,Virginia,Wise,6,1163,10,988,16,2151000
54001,West Virginia,Barbour,1,989,1,16,2,1005000
54005,West Virginia,Boone,9,4692,9,3789,18,8481000
54019,West Virginia,Fayette,3,1084,3,1626,6,2710000
54023,West Virginia,Grant,1,51,0,0,1,51000
54025,West Virginia,Greenbrier,2,342,5,575,7,917000
54033,West Virginia,Harrison,1,130,1,3,2,133000
54039,West Virginia,Kanawha,5,4940,7,2718,12,7658000
54045,West Virginia,Logan,8,4812,14,4749,22,9561000
54049,West Virginia,Marion,2,13588,4,172,6,13760000
54051,West Virginia,Marshall,2,16377,0,0,2,16377000
54047,West Virginia,Mcdowell,19,1486,12,1195,31,2681000
54055,West Virginia,Mercer,0,0,1,150,1,150000
54059,West Virginia,Mingo,2,1382,4,2530,6,3912000
54061,West Virginia,Monongalia,2,2714,2,27,4,2741000
54067,West Virginia,Nicholas,1,655,0,0,1,655000
54069,West Virginia,Ohio,1,6031,0,0,1,6031000
54081,West Virginia,Raleigh,8,3808,5,1825,13,5633000
54091,West Virginia,Taylor,1,3384,0,0,1,3384000
54093,West Virginia,Tucker,1,2108,0,0,1,2108000
54097,West Virginia,Upshur,1,598,0,0,1,598000
54099,West Virginia,Wayne,2,1031,0,0,2,1031000
54101,West Virginia,Webster,4,896,1,701,5,1597000
54109,West Virginia,Wyoming,5,4191,1,267,6,4458000
56005,Wyoming,Campbell,0,0,11,328222,11,328222000
56009,Wyoming,Converse,0,0,1,35181,1,35181000
56023,Wyoming,Lincoln,0,0,1,4471,1,4471000
56037,Wyoming,Sweetwater,1,3090,2,4809,3,7899000
